exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,E 00,E 01,E 02,00/01,Relative Anion Signal,Bleaching %,polaron ratio,Carrier Concentration,Mobility,Sheet Resistance,conductivity,thickness
660858dddc56149493ba3d7e,Spring24_SolvTemp_JPM_1,0,0,100,30,2.08108,2.26587,2.42266,0.683,1.23687,0.59753,0.85891,2.31E+020,0.20197,8947,7.45,1.5E-05
66085f3c82f78f6f268541f3,Spring24_SolvTemp_JPM_2,0,100,0,30,2.09171,2.2666,2.41469,0.74395,1.21842,0.55557,0.82803,2.99E+020,0.06918,60030,3.31,5.04E-06
660861c681d775fd84048281,Spring24_SolvTemp_JPM_3,100,0,0,30,2.07827,2.2625,2.43842,0.74486,1.11735,0.42345,0.70465,2.18E+020,0.26249,16800,9.17,6.49E-06
660864188342d8f8565f210a,Spring24_SolvTemp_JPM_4,20,50,30,30,2.08672,2.26664,2.41584,0.76257,1.19861,0.4746,0.74207,2.56E+020,0.17537,22963.33333,7.19,6.06E-06
6608651d8342d8f8567debaa,Spring24_SolvTemp_JPM_5,60,10,30,30,2.07747,2.26749,2.45117,0.72294,1.32817,0.41877,0.81651,2.48E+020,0.22285,19400,8.84,5.83E-06
6608663cdc561494935b873d,Spring24_SolvTemp_JPM_6,50,30,20,60,2.06949,2.25205,2.41599,0.75888,1.29343,0.49644,0.75973,2.8E+020,0.60595,5093.666667,27.14,7.23E-06
6608670fdc561494937564a5,Spring24_SolvTemp_JPM_7,20,20,60,60,2.06702,2.25496,2.42278,0.75973,1.27662,0.52141,0.81135,3.03E+020,0.21903,10089.33333,10.62,9.33E-06
660867c78342d8f856c2a083,Spring24_SolvTemp_JPM_8,30,30,40,60,2.06949,2.25205,2.4228,0.75996,1.29977,0.59098,0.85221,3.88E+020,0.22169,12583.33333,13.78,5.76E-06
6608688c5003d64741483d66,Spring24_SolvTemp_JPM_9,20,40,40,90,2.0695,2.255,2.42624,0.78244,1.32804,0.57324,0.82637,3.68E+020,0.28648,7250.333333,16.89,8.17E-06
6608697394e011fc192d23e9,Spring24_SolvTemp_JPM_10,0,50,50,90,2.06949,2.255,2.42282,0.78225,1.33116,0.59536,0.84187,3.92E+020,0.26025,7657.333333,16.32,8E-06
66086a7754a36d6df38c34a2,Spring24_SolvTemp_JPM_11,60,10,30,90,2.07198,2.25502,2.42285,0.79164,1.21579,0.49397,0.72046,2.77E+020,0.39675,5253.666667,17.57,1.083E-05
66086b5bdc56149493dfcf5d,Spring24_SolvTemp_JPM_12,30,0,70,90,2.06951,2.25501,2.42284,0.79423,1.17495,0.49613,0.72726,2.91E+020,0.36744,8862.333333,17.1,6.6E-06
66086c4194e011fc198295e0,Spring24_SolvTemp_JPM_13,60,20,20,180,2.08106,2.26585,2.43886,0.70155,1.09898,0.5495,0.80948,2.04E+020,0.31667,14296.66667,10.34,6.77E-06
66086f5882f78f6f266d085b,Spring24_SolvTemp_JPM_14,0,50,50,180,2.07005,2.26154,2.43385,0.76305,1.24311,0.66448,0.74934,1.91E+020,0.34773,15743.33333,10.62,5.98E-06
66087079aebabf93762570c5,Spring24_SolvTemp_JPM_15,50,50,0,210,2.07185,2.2637,2.43636,0.70248,1.07479,0.46327,0.75263,2.51E+020,0.13396,32143.33333,5.39,5.77E-06
660871a68342d8f856e86284,Spring24_SolvTemp_JPM_16,10,50,40,210,2.07185,2.26372,2.43295,0.70983,1.13562,0.47334,0.77783,2.58E+020,0.12407,37260,5.12,5.24E-06
660872ff5003d64741903693,Spring24_SolvTemp_JPM_17,0,30,70,120,2.07346,2.25384,2.44903,0.81027,1.3148,0.53467,0.7649,3.15E+020,0.50693,6145.333333,6.36E-06,6.36E-06
6608745582f78f6f26fe87b1,Spring24_SolvTemp_JPM_18,10,50,40,120,2.07345,2.25381,2.44206,0.80327,1.25855,0.46959,0.75232,2.61E+020,0.77737,5112.666667,32.42,6.03E-06
660876568342d8f856726fda,Spring24_SolvTemp_JPM_19,40,20,40,120,2.07344,2.25377,2.44201,0.81312,1.59339,0.58908,0.93484,3.74E+020,0.52325,4443,31.33,7.18E-06
66087789dc561494934f7069,Spring24_SolvTemp_JPM_20,20,60,20,120,2.07343,2.25378,2.44896,0.79852,1.20901,0.45018,0.71383,2.42E+020,0.77195,5431,29.86,6.17E-06
660878a05003d64741287f99,Spring24_SolvTemp_JPM_21,10,90,0,150,2.07835,2.25965,2.44544,0.79398,1.12658,0.3884,0.67853,2.01E+020,0.65161,7559.333333,20.94,6.32E-06
660879a55003d647414ab371,Spring24_SolvTemp_JPM_22,40,30,30,150,2.07337,2.25668,2.44195,0.81599,1.2317,0.43534,0.73227,2.32E+020,1.27617,4500,47.28,4.7E-06
66087a9a82f78f6f26afd268,Spring24_SolvTemp_JPM_23,10,40,50,150,2.07336,2.25667,2.44195,0.82484,1.24865,0.44805,0.74471,2.4E+020,1.06774,4511.333333,41.05,5.4E-06
66087ba881d775fd841e4e90,Spring24_SolvTemp_JPM_24,30,20,50,150,2.07332,2.25662,2.43154,0.83417,1.20933,0.40447,0.70725,2.15E+020,1.31116,4058,45.08,5.47E-06
66087e36dc56149493176624,Spring24_SolvTemp_JPM_25,20,30,50,240,2.07921,2.26364,2.42942,0.78077,1.11204,0.43385,0.64463,3.83E+020,0.12152,18390,7.45,7.3E-06
